transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,location,amount,transaction_type,is_anomaly,receipt_image_url,hour,day_name,date_only,is_statistical_outlier,is_weekend,is_midnight,is_discretionary,week_number
4dac3ea3-6492-46ec-80b8-dc45c3ad0b14,USER_05159,2023-08-19 03:32:00,Rent Payment,2BHK Flat Deposit,Airbnb,15254,367,19.19,186,Urban,15621,Expense,False,,3,Saturday,2023-08-19,False,True,True,False,33
a903ed9f-eb84-47e7-b8aa-fd1786c919cf,USER_07204,2023-08-19 04:37:00,Gas Bill,Commercial Gas Connection,Adani Gas,14954,282,89.99,182,Urban,15236,Expense,False,https://dummy-image-url.com/receipt1.jpg,4,Saturday,2023-08-19,False,True,True,False,33
2a393013-733c-4add-9f09-bed1eeb33676,USER_00903,2023-08-19 05:52:00,Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,12677,114,95.7,994,Urban,12791,Expense,False,,5,Saturday,2023-08-19,False,True,False,True,33
9a07ad19-4673-4794-9cd2-9b139f39c715,USER_01769,2023-08-19 06:35:00,Internet Bill,4G Unlimited Plan,Airtel Broadband,92026,64,82.24,409,Urban,92090,Expense,False,,6,Saturday,2023-08-19,False,True,False,False,33
76418260-c985-4011-979d-0914604d0d68,USER_03544,2023-08-19 06:36:00,Loan Repayment,Home Loan EMI,Axis Bank,31006,412,40.47,837,Urban,31418,Expense,False,,6,Saturday,2023-08-19,False,True,False,False,33
2ee6c8d8-9e9e-47b6-95e8-932af851ca43,USER_07548,2023-08-19 06:46:00,Flight Booking,Delhi to Mumbai,Yatra,84308,446,52.61,269,Urban,84754,Expense,False,,6,Saturday,2023-08-19,False,True,False,False,33
89df83e5-98d3-4c0f-b273-59b0d057fc34,USER_05280,2023-08-19 07:15:00,Hotel Booking,Villa,Treebo,66882,496,22.18,58,Urban,67378,Expense,False,,7,Saturday,2023-08-19,False,True,False,False,33
1a8ab910-657a-4e57-90ec-90420290e8a1,USER_03459,2023-08-19 07:57:00,Gas Bill,Piped Natural Gas,Adani Gas,18023,1,14.56,950,Urban,18024,Expense,False,,7,Saturday,2023-08-19,False,True,False,False,33
48fc902d-0952-4a20-9d57-b54663affe79,USER_04329,2023-08-19 09:14:00,Internet Bill,Broadband 50Mbps Plan,Airtel Broadband,42623,27,67.63,675,Urban,42650,Expense,False,https://dummy-image-url.com/receipt1.jpg,9,Saturday,2023-08-19,False,True,False,False,33
19c7d2d5-8566-42ba-95aa-8d803cfeeffd,USER_07264,2023-08-19 10:01:00,Insurance Premium,Term Life Policy,Max Life,22079,457,21.87,129,Urban,22536,Expense,False,,10,Saturday,2023-08-19,False,True,False,False,33
